Name,birth_year,death_year,religion_name,ceda_name,person_ceda_first_year,person_ceda_last_year
Robert Forster,,,Quaker,APS,1860,1868
William Forster,,,Quaker,QCA,1837,1848
William Forster,,,Quaker,APS,1838,1841
William Forster,,,Quaker,HOD,,
Joseph Talwin Foster,,,Quaker,QCA,1837,1848
John Hamilton,,,Quaker,QCA,1837,1840
Edwd Harris,,,Quaker,QCA,1837,1848
Geo Holmes,,,Quaker,QCA,1837,1840
Robert Howard,,,Quaker,QCA,1837,1840
Robert Howard,,,Quaker,APS,1838,1841
Robert Howard,,,Quaker,HOD,,
Robert Howard,,,Quaker,HOD,,
John Kitching,,,Quaker,QCA,1837,1840
John Kitching,,,Quaker,APS,1860,1867
Joseph Neatby,,,Quaker,QCA,1837,1848
Joseph Neatby,,,Quaker,APS,1851,1853
John Sanderson,,,Quaker,QCA,1837,1848
John Sanderson,,,Quaker,APS,1838,1841
Joseph Shewell,,,Quaker,QCA,1837,1840
Joseph Shewell,,,Quaker,APS,1840,1868
George Stacey,,,Quaker,QCA,1837,1848
Joseph Storrs,,,Quaker,QCA,1837,1848
John M Albright,,,Quaker,APS,1860,1868
G W Alexander,,,Quaker,APS,1851,1868
Henry Alexander,,,Quaker,APS,1860,1867
R D Alexander,,,Quaker,APS,1839,1861
R D Alexander,,,Quaker,HOD,,
Thomas Allis,,,Quaker,APS,1856,1868
John D Appleton,,,Quaker,APS,1864,1868
Caroline Armistead,,,Quaker,APS,1861,1866
Joseph Armistead,,,Quaker,APS,1861,1865
Edward Ash,,,Quaker,APS,1839,1861
Alfred Backhouse,,,Quaker,APS,1860,1868
Edmund Backhouse,,,Quaker,APS,1861,1868
Edward Jun Backhouse,,,Quaker,APS,1851,1856
James Jun Backhouse,,,Quaker,APS,1863,1868
John Church Backhouse,,,Quaker,APS,1852,1853
J E Baker,,,Quaker,APS,1861,1868
James Baker,,,Quaker,APS,1861,1868
A P Balkwill,,,Quaker,APS,1862,1863
William Ball,,,Quaker,APS,1840,1867
Eliza Barclay,,,Quaker,APS,1851,1867
J Gurney Barclay,,,Quaker,APS,1852,1853
J Gurney Barclay,,,Quaker,HOD,,
Jonathan Barrett,,,Quaker,APS,1860,1862
R Barrett,,,Quaker,APS,1853,1861
R C Barrow,,,Quaker,APS,1860,1865
S Barter,,,Quaker,APS,1861,1863
John D Bassett,,,Quaker,APS,1851,1868
John Baynes,,,Quaker,APS,1838,1839
